ENODEB_ID,CELLID_PCELL,CARRIER_FREQ,RSRP_PCELL,RSRQ_PCELL,PCI_PCELL,LONGITUDE_25,LATITUDE_25,PAYLOAD_NGBR_DL_MB,PAYLOAD_NGBR_UL_MB,DL_NON_GBR_TPUT_KBPS,UL_NON_GBR_TPUT_KBPS,WB_CQI,SAMPLES_DENSITY
239310,61263369,1275,-99.5,-14.5,403,39.7428640346941,43.6215174440522,0.005511,0.002515,8719,468,5,0.02
239310,61263369,1275,-99.5,-14.75,403,39.7281786823314,43.6269117707256,0.47167,0.063684,4574,1366,7,0.02
239310,61263369,1275,-99.5,-17.25,403,39.7647358360853,43.6318565701762,\N,\N,\N,\N,\N,0.02
239310,61263369,1275,-99.5,-19.25,403,39.7475508492779,43.644443332414,\N,\N,\N,\N,\N,0.02
239310,61263369,1275,-99.62,-16.62,403,39.7313032253873,43.6278108251711,0.116844,0.025995,8112,1248,4,0.13
239310,61263369,1275,-99.67,-13.83,403,39.7350526770543,43.6235403165547,0.095787,0.008418,4051,705,8,0.03
239310,61263369,1275,-99.75,-16.75,403,39.7453636691388,43.6473652593621,\N,\N,\N,\N,\N,0.04
239310,61263369,1275,-99.78,-14.08,403,39.7409893088605,43.6199440987725,0.089125,0.066946,8370,625,7,0.40
239310,61263369,1275,-99.94,-15.33,403,39.7319281339985,43.6280355887825,0.080936,0.044587,7220,713,6,0.18
239310,61263367,1275,-100,-13.5,402,39.7484882121947,43.623090789332,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-100,-14.17,402,39.7384896744158,43.6170221718244,0.006192,0.002429,6481,851,6,0.03
239310,61263367,1275,-100,-14.5,402,39.7313032253873,43.6125268995966,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-100,-14.5,402,39.7422391260829,43.6203936259953,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-100,-15,402,39.7413017631661,43.6221917348864,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-100,-15.25,402,39.7303658624705,43.6163478809902,\N,\N,\N,\N,\N,0.02
239310,61263367,1275,-100,-15.89,402,39.7416142174717,43.6188202807155,0.034476,0.009689,1830,516,5,0.18
239310,61263367,1275,-100,-16,402,39.7431764889997,43.6233155529434,0,0,\N,\N,7,0.01
239310,61263367,1275,-100,-16,402,39.7466134863611,43.6228660257206,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-100,-16.42,402,39.728491136637,43.6141002448764,0.07337,0.018939,2350,677,4,0.06
239310,61263367,1275,-100,-16.5,402,39.7294284995537,43.612751663208,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-100,-16.5,402,39.7428640346941,43.6217422076636,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-100,-17,402,39.7188050531637,43.6152240629333,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-100,-17,402,39.7219295962196,43.608705918203,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-100,-17.25,402,39.7394270373326,43.6152240629333,\N,\N,\N,\N,\N,0.04
239310,61263367,1275,-100,-17.75,402,39.723179413442,43.6093802090372,0.004049,0.001262,1254,5,4,0.02
239310,61263367,1275,-100,-17.75,402,39.7369274028879,43.6145497720991,\N,\N,\N,\N,\N,0.04
239310,61263367,1275,-100,-17.8,402,39.7419266717773,43.6192698079383,0.000145,0.000897,\N,1882,6,0.05
239310,61263367,1275,-100,-18,402,39.7278662280258,43.6129764268194,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-100,-18.17,402,39.7222420505252,43.6060087548663,0.000039,0.000111,\N,122,4,0.06
239310,61263367,1275,-100,-19,402,39.7206797789972,43.6136507176536,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-100.03,-16.18,402,39.7403644002493,43.6172469354358,1.321339,0.185061,3297,921,4,0.74
239310,61263367,1275,-100.08,-16.68,402,39.7228669591364,43.608705918203,31.58133,1.488604,4678,781,5,1.31
239310,61263367,1275,-100.2,-16.87,402,39.7413017631661,43.6181459898814,0.127125,0.034938,2777,771,4,0.30
239310,61263367,1275,-100.25,-18.12,402,39.7206797789972,43.6123021359852,\N,0,\N,0,\N,0.04
